wavelength_um,snr
1.212773588553750947e+00,1.329017554822450187e+01
1.212790023201856027e+00,1.329880182443044134e+01
1.212806457849961106e+00,1.330642843354717009e+01
1.212822892498066407e+00,1.331310193460666014e+01
1.212839327146171486e+00,1.331966688154171230e+01
1.212855761794276788e+00,1.332427931190433590e+01
1.212872196442381867e+00,1.332888902991450486e+01
1.212888631090487168e+00,1.333460407894832223e+01
1.212905065738592247e+00,1.334107984855461204e+01
1.212921500386697549e+00,1.334773238046811272e+01
1.212937935034802628e+00,1.335554540963717685e+01
1.212954369682907929e+00,1.336335927605927765e+01
1.212970804331013008e+00,1.337148666484964998e+01
1.212987238979118088e+00,1.337976758443757497e+01
1.213003673627223389e+00,1.338776662197046363e+01
1.213020108275328468e+00,1.339471548817829927e+01
1.213036542923433769e+00,1.340166424577730986e+01
1.213052977571539071e+00,1.340963715403204226e+01
1.213069412219644150e+00,1.341794884578548697e+01
1.213085846867749229e+00,1.342602843812722035e+01
1.213102281515854530e+00,1.343354208664762517e+01
1.213118716163959609e+00,1.344105623907071489e+01
1.213135150812064911e+00,1.344873012979902249e+01
1.213151585460169990e+00,1.345643701870901765e+01
1.213168020108275069e+00,1.346385619306446557e+01
1.213184454756380370e+00,1.347078609708807129e+01
1.213200889404485672e+00,1.347771586858078940e+01
1.213217324052590751e+00,1.348212601061142557e+01
1.213233758700696052e+00,1.348628475556458461e+01
1.213250193348801131e+00,1.349222212758947137e+01
1.213266627996906211e+00,1.350034057997850745e+01
1.213283062645011512e+00,1.350846018569155049e+01
1.213299497293116591e+00,1.351752140784938483e+01
1.213315931941221892e+00,1.352659540060025911e+01
1.213332366589326972e+00,1.353470978716358530e+01
1.213348801237432051e+00,1.354196510662568897e+01
1.213365235885537352e+00,1.354919690442462432e+01
1.213381670533642653e+00,1.355609868443353250e+01
1.213398105181747733e+00,1.356300030108980437e+01
1.213414539829853034e+00,1.356833033892979579e+01
1.213430974477958113e+00,1.357263688241319777e+01
1.213447409126063192e+00,1.357748534301824428e+01
1.213463843774168494e+00,1.358554458493687278e+01
1.213480278422273573e+00,1.359360490906389884e+01
1.213496713070378874e+00,1.360244421622553368e+01
1.213513147718484175e+00,1.361164512362065260e+01
1.213529582366589255e+00,1.362037227853896049e+01
1.213546017014694334e+00,1.362743842704199437e+01
1.213562451662799635e+00,1.363450458888671690e+01
1.213578886310904714e+00,1.364100798072207077e+01
1.213595320959010015e+00,1.364733426326283094e+01
1.213611755607115095e+00,1.365392155680254760e+01
1.213628190255220174e+00,1.366111967177158881e+01
1.213644624903325475e+00,1.366831794210387230e+01
1.213661059551430554e+00,1.367220749741495744e+01
1.213677494199535856e+00,1.367545595934254088e+01
1.213693928847641157e+00,1.368075086475038127e+01
1.213710363495746236e+00,1.368943522568462789e+01
1.213726798143851315e+00,1.369812131989770698e+01
1.213743232791956617e+00,1.370646822237146445e+01
1.213759667440061696e+00,1.371478493863063797e+01
1.213776102088166997e+00,1.371978690099363263e+01
1.213792536736272076e+00,1.372078919727760393e+01
1.213808971384377156e+00,1.372178481044198683e+01
1.213825406032482457e+00,1.373496463592233852e+01
1.213841840680587758e+00,1.374825225124819106e+01
1.213858275328692837e+00,1.375864484847443947e+01
1.213874709976798139e+00,1.376646533095999558e+01
1.213891144624903218e+00,1.377397775744745978e+01
1.213907579273008297e+00,1.377724718096891365e+01
1.213924013921113598e+00,1.378051248989375033e+01
1.213940448569218677e+00,1.378872848516456706e+01
1.213956883217323979e+00,1.380017107956657973e+01
1.213973317865429058e+00,1.381086921804460488e+01
1.213989752513534359e+00,1.381710600356510632e+01
1.214006187161639438e+00,1.382334191631815301e+01
1.214022621809744740e+00,1.382808552698121218e+01
1.214039056457849819e+00,1.383212917021090504e+01
1.214055491105955120e+00,1.383743545323582147e+01
1.214071925754060199e+00,1.384725195436969258e+01
1.214088360402165279e+00,1.385707133551698078e+01
1.214104795050270580e+00,1.386608007579120994e+01
1.214121229698375659e+00,1.387482932277755410e+01
1.214137664346480960e+00,1.388287595133824048e+01
1.214154098994586262e+00,1.388923398241891682e+01
1.214170533642691341e+00,1.389559127269788164e+01
1.214186968290796420e+00,1.389957906871705262e+01
1.214203402938901721e+00,1.390308430282360419e+01
1.214219837587006801e+00,1.390840146900185736e+01
1.214236272235112102e+00,1.391682160887645736e+01
1.214252706883217181e+00,1.392524317838457115e+01
1.214269141531322260e+00,1.393070316136290998e+01
1.214285576179427562e+00,1.393585534304078166e+01
1.214302010827532863e+00,1.394088320940215731e+01
1.214318445475637942e+00,1.394575546453731896e+01
1.214334880123743243e+00,1.395062540061229583e+01
1.214351314771848322e+00,1.396492471909857436e+01
1.214367749419953402e+00,1.397941623968866232e+01
1.214384184068058703e+00,1.399026933288813090e+01
1.214400618716163782e+00,1.399772948807663120e+01
1.214417053364269083e+00,1.400502063048640444e+01
1.214433488012374163e+00,1.400938717786028320e+01
1.214449922660479464e+00,1.401375086076955689e+01
1.214466357308584543e+00,1.401898080817145598e+01
1.214482791956689844e+00,1.402480904287971697e+01
1.214499226604794924e+00,1.403094070196248744e+01
